no,room,date,count_1s,Value
168,1,16/07/2023 23:00,0,44
169,1,17/07/2023 00:00,0,39
170,1,17/07/2023 01:00,0,45
171,1,17/07/2023 02:00,0,39
172,1,17/07/2023 03:00,0,45
173,1,17/07/2023 04:00,0,65
174,1,17/07/2023 05:00,0,82
175,1,17/07/2023 06:00,0,100
176,1,17/07/2023 07:00,0,45
177,1,17/07/2023 08:00,0,47
178,1,17/07/2023 09:00,3,52
179,1,17/07/2023 10:00,7,44
180,1,17/07/2023 11:00,3,45
181,1,17/07/2023 12:00,8,45
182,1,17/07/2023 13:00,6,46
183,1,17/07/2023 14:00,5,49
184,1,17/07/2023 15:00,3,48
185,1,17/07/2023 16:00,4,46
186,1,17/07/2023 17:00,6,43
187,1,17/07/2023 18:00,3,48
188,1,17/07/2023 19:00,2,49
189,1,17/07/2023 20:00,0,48
190,1,17/07/2023 21:00,0,46
191,1,17/07/2023 22:00,0,47
192,1,17/07/2023 23:00,0,46
193,1,18/07/2023 00:00,0,46
194,1,18/07/2023 01:00,0,63
195,1,18/07/2023 02:00,0,46
196,1,18/07/2023 03:00,0,45
197,1,18/07/2023 04:00,0,45
198,1,18/07/2023 05:00,0,45
199,1,18/07/2023 06:00,0,45
200,1,18/07/2023 07:00,0,46
201,1,18/07/2023 08:00,0,48
202,1,18/07/2023 09:00,3,39
203,1,18/07/2023 10:00,5,48
204,1,18/07/2023 11:00,3,46
205,1,18/07/2023 12:00,9,45
206,1,18/07/2023 13:00,3,39
207,1,18/07/2023 14:00,6,39
208,1,18/07/2023 15:00,6,39
209,1,18/07/2023 16:00,8,100
210,1,18/07/2023 17:00,5,99
211,1,18/07/2023 18:00,1,48
212,1,18/07/2023 19:00,3,88
213,1,18/07/2023 20:00,0,86
214,1,18/07/2023 21:00,0,39
215,1,18/07/2023 22:00,0,39
216,1,18/07/2023 23:00,0,39
217,1,19/07/2023 00:00,0,39
218,1,19/07/2023 01:00,0,39
219,1,19/07/2023 02:00,0,39
220,1,19/07/2023 03:00,0,39
221,1,19/07/2023 04:00,0,39
222,1,19/07/2023 05:00,0,39
223,1,19/07/2023 06:00,0,39
224,1,19/07/2023 07:00,0,39
225,1,19/07/2023 08:00,0,39
226,1,19/07/2023 09:00,4,100
227,1,19/07/2023 10:00,2,68
228,1,19/07/2023 11:00,6,39
229,1,19/07/2023 12:00,4,39
230,1,19/07/2023 13:00,4,39
231,1,19/07/2023 14:00,6,39
232,1,19/07/2023 15:00,4,98
233,1,19/07/2023 16:00,6,85
234,1,19/07/2023 17:00,2,62
235,1,19/07/2023 18:00,2,39
236,1,19/07/2023 19:00,1,94
237,1,19/07/2023 20:00,0,99
238,1,19/07/2023 21:00,0,39
239,1,19/07/2023 22:00,0,39
240,1,19/07/2023 23:00,0,39
241,1,20/07/2023 00:00,0,39
242,1,20/07/2023 01:00,0,39
243,1,20/07/2023 02:00,0,39
244,1,20/07/2023 03:00,0,39
245,1,20/07/2023 04:00,0,39
246,1,20/07/2023 05:00,0,39
247,1,20/07/2023 06:00,0,39
248,1,20/07/2023 07:00,0,39
249,1,20/07/2023 08:00,0,39
250,1,20/07/2023 09:00,3,39
251,1,20/07/2023 10:00,2,39
252,1,20/07/2023 11:00,0,39
253,1,20/07/2023 12:00,1,57
254,1,20/07/2023 13:00,8,39
255,1,20/07/2023 14:00,5,39
256,1,20/07/2023 15:00,0,39
257,1,20/07/2023 16:00,1,100
258,1,20/07/2023 17:00,1,45
259,1,20/07/2023 18:00,0,64
260,1,20/07/2023 19:00,0,81
261,1,20/07/2023 20:00,0,39
262,1,20/07/2023 21:00,0,39
263,1,20/07/2023 22:00,0,39
264,1,20/07/2023 23:00,0,39
265,1,21/07/2023 00:00,0,39
266,1,21/07/2023 01:00,0,39
267,1,21/07/2023 02:00,0,39
268,1,21/07/2023 03:00,0,39
269,1,21/07/2023 04:00,0,39
270,1,21/07/2023 05:00,0,39
271,1,21/07/2023 06:00,0,39
272,1,21/07/2023 07:00,0,39
273,1,21/07/2023 08:00,0,39
274,1,21/07/2023 09:00,0,39
275,1,21/07/2023 10:00,1,83
276,1,21/07/2023 11:00,4,39
277,1,21/07/2023 12:00,4,39
278,1,21/07/2023 13:00,2,39
279,1,21/07/2023 14:00,0,39
280,1,21/07/2023 15:00,1,39
281,1,21/07/2023 16:00,2,39
282,1,21/07/2023 17:00,2,39
283,1,21/07/2023 18:00,1,39
284,1,21/07/2023 19:00,0,39
285,1,21/07/2023 20:00,0,39
286,1,21/07/2023 21:00,0,39
287,1,21/07/2023 22:00,0,39
288,1,21/07/2023 23:00,0,39
289,1,22/07/2023 00:00,0,39
290,1,22/07/2023 01:00,0,39
291,1,22/07/2023 02:00,0,39
292,1,22/07/2023 03:00,0,39
293,1,22/07/2023 04:00,0,39
294,1,22/07/2023 05:00,0,39
295,1,22/07/2023 06:00,0,39
296,1,22/07/2023 07:00,0,39
297,1,22/07/2023 08:00,0,39
298,1,22/07/2023 09:00,0,39
299,1,22/07/2023 10:00,0,39
300,1,22/07/2023 11:00,1,39
301,1,22/07/2023 12:00,0,39
302,1,22/07/2023 13:00,0,39
303,1,22/07/2023 14:00,0,39
304,1,22/07/2023 15:00,1,39
305,1,22/07/2023 16:00,0,39
306,1,22/07/2023 17:00,2,39
307,1,22/07/2023 18:00,0,39
308,1,22/07/2023 19:00,0,39
309,1,22/07/2023 20:00,0,39
310,1,22/07/2023 21:00,0,39
311,1,22/07/2023 22:00,0,39
312,1,22/07/2023 23:00,0,39
313,1,23/07/2023 00:00,0,39
314,1,23/07/2023 01:00,0,39
315,1,23/07/2023 02:00,0,39
316,1,23/07/2023 03:00,0,39
317,1,23/07/2023 04:00,0,39
318,1,23/07/2023 05:00,0,39
