,trend
0,
1,
2,
3,
4,
5,
6,2.583333333333333
7,1.9999999999999998
8,1.5833333333333333
9,1.3333333333333333
10,1.1666666666666667
11,1.0
12,0.7916666666666665
13,0.5833333333333334
14,0.5833333333333333
15,0.6249999999999999
16,0.5833333333333334
17,0.5833333333333334
18,0.5833333333333334
19,0.5833333333333334
20,0.5833333333333334
21,0.5833333333333334
22,0.5833333333333334
23,0.5416666666666666
24,0.4583333333333333
25,0.49999999999999994
26,0.45833333333333326
27,0.29166666666666663
28,0.25
29,0.25
30,0.25
31,0.25
32,0.25
33,0.25
34,0.25
35,0.20833333333333331
36,0.16666666666666666
37,0.08333333333333333
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.041666666666666664
44,0.125
45,0.16666666666666666
46,0.3333333333333333
47,0.6666666666666666
48,1.0833333333333333
49,1.4583333333333333
50,1.625
51,1.8333333333333333
52,2.0416666666666665
53,2.083333333333333
54,2.1249999999999996
55,2.1666666666666665
56,2.1666666666666665
57,2.1666666666666665
58,2.1249999999999996
59,1.9999999999999996
60,1.8333333333333333
61,1.7083333333333333
62,1.7083333333333333
63,1.5833333333333335
64,1.4166666666666667
65,1.4166666666666667
66,1.375
67,1.2916666666666667
68,1.3333333333333333
69,1.4583333333333333
70,1.4166666666666665
71,1.2916666666666665
72,1.2916666666666665
73,1.375
74,1.375
75,1.4166666666666665
76,1.4583333333333333
77,1.4166666666666665
78,1.4166666666666665
79,1.4166666666666665
80,1.4166666666666665
81,1.625
82,1.9583333333333335
83,2.208333333333333
84,2.375
85,2.4166666666666665
86,2.4166666666666665
87,2.375
88,2.3333333333333335
89,2.3333333333333335
90,2.3333333333333335
91,2.375
92,2.541666666666667
93,2.4999999999999996
94,2.25
95,2.25
96,2.25
97,2.0833333333333335
98,1.958333333333333
99,1.8749999999999998
100,1.833333333333333
101,1.833333333333333
102,1.833333333333333
103,1.7916666666666665
104,1.4999999999999998
105,1.2499999999999998
106,1.2083333333333335
107,0.9583333333333333
108,0.5833333333333333
109,0.45833333333333326
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.41666666666666663
118,0.29166666666666663
119,0.20833333333333331
120,0.16666666666666666
121,0.08333333333333333
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.08333333333333333
128,0.20833333333333331
129,0.25
130,0.5
131,0.7916666666666666
132,0.8333333333333334
133,0.875
134,1.0
135,1.0833333333333335
136,1.0833333333333335
137,1.0833333333333335
138,1.0833333333333335
139,1.0
140,1.0
141,1.3333333333333335
142,1.625
143,1.6249999999999998
144,1.7916666666666665
145,2.2499999999999996
146,2.5833333333333326
147,2.6666666666666665
148,2.6666666666666665
149,2.6666666666666665
150,2.708333333333333
151,2.9583333333333335
152,3.083333333333333
153,2.75
154,2.4166666666666665
155,2.5416666666666665
156,2.5833333333333326
157,2.1666666666666665
158,1.8333333333333328
159,1.7499999999999998
160,1.7916666666666665
161,1.833333333333333
162,1.7916666666666665
163,1.5833333333333333
164,1.375
165,1.3333333333333333
166,1.2083333333333333
167,0.9166666666666666
168,0.7916666666666666
169,0.875
170,0.8333333333333333
171,0.7499999999999999
172,0.7499999999999999
173,0.75
174,0.75
175,0.7916666666666666
176,0.9999999999999999
177,1.3333333333333333
178,1.4583333333333333
179,1.4999999999999998
180,1.583333333333333
181,1.5416666666666667
182,1.5833333333333333
183,1.7083333333333335
184,1.7083333333333335
185,1.6666666666666665
186,1.6666666666666665
187,1.5833333333333335
188,1.3333333333333333
189,1.125
190,1.0833333333333335
191,1.0416666666666667
192,0.9166666666666666
193,0.7916666666666666
194,0.6666666666666666
195,0.5416666666666666
196,0.5
197,0.5
198,
199,
200,
201,
202,
203,
