,Room1_G,Room2_B,Room3_Y,3_state(total),1_state(total),2_state(total)
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,-0.30000000000000426,0.5,7.0,1.0,-2.0
2,0.0,-4.75,0.3999999999999986,2.0,0.0,-2.0
3,0.0,0.6000000000000014,-0.44999999999999574,-1.0,-1.0,-2.0
4,0.0,0.6000000000000014,0.0,-1.0,1.0,0.0
5,0.0,-0.25,0.7999999999999972,3.0,1.0,2.0
6,0.0,-1.3500000000000014,-1.0,4.0,-1.0,0.0
7,0.0,-0.3500000000000014,1.4500000000000028,-11.0,-1.0,-2.0
8,0.0,1.75,0.14999999999999858,4.0,3.0,-1.0
9,0.0,-5.699999999999996,-4.800000000000004,-5.0,-3.0,1.0
10,0.0,4.399999999999999,3.5,0.0,0.0,-2.0
11,0.0,1.6999999999999957,0.4000000000000057,-2.0,0.0,0.0
12,0.0,-3.049999999999997,0.0,5.0,1.0,0.0
13,0.0,-1.6499999999999986,-2.8000000000000043,-1.0,1.0,0.0
14,0.0,1.8999999999999986,2.5,0.0,0.0,0.0
15,0.0,2.3999999999999986,-0.6000000000000014,0.0,3.0,0.0
16,0.0,0.5500000000000043,1.3000000000000043,-1.0,-3.0,0.0
17,0.0,-3.0500000000000043,-0.05000000000000426,2.0,-1.0,2.0
18,40.0,2.450000000000003,-0.14999999999999858,1.0,1.0,-1.0
19,-40.0,0.3999999999999986,0.30000000000000426,-1.0,-1.0,-1.0
20,0.0,-1.8999999999999986,-0.25,-3.0,1.0,3.0
21,0.0,-0.10000000000000142,0.04999999999999716,2.0,-2.0,-2.0
22,0.0,-1.0,-0.75,1.0,0.0,-1.0
23,0.0,-1.4500000000000028,-0.75,-5.0,0.0,0.0
24,0.0,3.75,1.0,0.0,0.0,0.0
25,0.0,0.7000000000000028,-0.25,0.0,0.0,0.0
26,0.0,0.5499999999999972,1.2999999999999972,1.0,1.0,0.0
27,0.0,-1.9499999999999957,-0.8999999999999986,4.0,-1.0,0.0
28,0.0,2.8999999999999986,-0.6999999999999957,2.0,1.0,0.0
29,0.0,-0.3999999999999986,1.4499999999999957,-1.0,-1.0,1.0
30,0.0,-2.1000000000000014,-1.7999999999999972,-5.0,0.0,-1.0
31,0.0,-1.5,1.2999999999999972,1.0,3.0,2.0
32,0.0,1.5,-0.5,0.0,-2.0,-2.0
33,0.0,-3.549999999999997,-0.5,-2.0,-1.0,0.0
34,0.0,2.9499999999999957,-0.19999999999999574,0.0,0.0,0.0
35,0.0,-1.8999999999999986,-2.950000000000003,0.0,0.0,0.0
36,0.0,5.0,3.049999999999997,0.0,0.0,0.0
37,0.0,-3.299999999999997,-0.8999999999999986,0.0,0.0,0.0
38,0.0,4.849999999999994,0.0,0.0,0.0,0.0
39,0.0,-7.199999999999996,-3.3999999999999986,0.0,0.0,0.0
40,0.0,8.399999999999999,4.75,0.0,0.0,0.0
41,0.0,0.20000000000000284,0.45000000000000284,0.0,0.0,0.0
42,0.0,-2.8000000000000043,-1.2000000000000028,0.0,0.0,0.0
43,0.0,1.2000000000000028,0.04999999999999716,0.0,0.0,0.0
44,0.0,-1.4500000000000028,0.15000000000000568,0.0,0.0,0.0
45,0.0,0.05000000000000426,-0.30000000000000426,0.0,0.0,0.0
46,0.0,1.1499999999999986,0.3999999999999986,0.0,0.0,0.0
47,0.0,0.9499999999999957,-0.29999999999999716,0.0,0.0,0.0
48,0.0,-5.199999999999996,0.5499999999999972,2.0,0.0,0.0
49,0.0,0.14999999999999858,-0.09999999999999432,5.0,0.0,1.0
50,0.0,-0.3500000000000014,0.25,-4.0,3.0,0.0
51,0.0,1.7000000000000028,0.19999999999999574,5.0,-2.0,-1.0
52,37.8,-2.0,0.5500000000000043,-3.0,0.0,4.0
53,6.799999999999997,-0.30000000000000426,1.0,9.0,1.0,0.0
54,-44.599999999999994,0.8000000000000043,-1.8500000000000014,-10.0,1.0,2.0
55,43.3,-2.5,1.3500000000000014,2.0,-1.0,-3.0
56,3.700000000000003,2.75,0.7999999999999972,-2.0,1.0,-2.0
57,-45.5,2.6499999999999986,-1.25,7.0,-3.0,3.0
58,1.0499999999999972,-1.5499999999999972,-1.5,-8.0,0.0,-3.0
59,-0.5499999999999972,-2.950000000000003,0.7000000000000028,-3.0,0.0,-1.0
60,-0.25,7.600000000000001,1.2999999999999972,4.0,3.0,1.0
61,4.149999999999999,-4.700000000000003,-1.7000000000000028,3.0,-1.0,0.0
62,15.050000000000004,-4.100000000000001,1.9000000000000057,-6.0,-1.0,0.0
63,-16.6,2.0500000000000043,-1.8500000000000014,4.0,3.0,-1.0
64,-0.14999999999999858,-1.6499999999999986,0.3500000000000014,1.0,6.0,3.0
65,1.2999999999999972,-3.6500000000000057,-0.05000000000000426,2.0,-7.0,-1.0
66,-0.5,4.900000000000006,-0.3500000000000014,-2.0,2.0,2.0
67,-0.6000000000000014,0.14999999999999858,0.45000000000000284,3.0,0.0,-2.0
68,-0.3999999999999986,0.25,0.5499999999999972,-7.0,-3.0,0.0
69,0.6499999999999986,-0.45000000000000284,-0.75,2.0,1.0,-2.0
70,0.0,-1.0499999999999972,-0.5,-2.0,4.0,1.0
71,-0.3500000000000014,-2.450000000000003,0.9500000000000028,-1.0,-7.0,-1.0
72,1.4500000000000028,4.100000000000001,0.0,2.0,4.0,0.0
73,-0.7000000000000028,1.25,-0.75,3.0,-2.0,0.0
74,-0.5,-2.25,2.25,1.0,5.0,3.0
75,0.45000000000000284,0.6499999999999986,0.04999999999999716,-2.0,-1.0,-2.0
76,4.600000000000001,-0.75,-1.6999999999999957,2.0,0.0,0.0
77,-5.550000000000004,0.05000000000000426,-1.0500000000000043,-2.0,0.0,0.0
78,0.3500000000000014,0.0,3.1000000000000014,6.0,-4.0,4.0
79,0.8000000000000043,3.6999999999999957,-0.7999999999999972,-10.0,0.0,-2.0
80,1.3499999999999943,-2.549999999999997,-0.8000000000000043,8.0,-2.0,-2.0
81,-2.299999999999997,0.5499999999999972,0.30000000000000426,-7.0,2.0,1.0
82,-1.3500000000000014,-0.5,-1.6000000000000014,1.0,0.0,-2.0
83,2.6000000000000014,-2.8500000000000014,0.7000000000000028,-3.0,-2.0,0.0
84,-2.8500000000000014,3.1000000000000014,0.3999999999999986,4.0,3.0,0.0
85,1.1000000000000014,1.5500000000000043,-2.1000000000000014,-1.0,-2.0,0.0
86,-0.14999999999999858,-2.450000000000003,3.049999999999997,0.0,-1.0,3.0
87,2.75,2.25,-0.3499999999999943,2.0,4.0,3.0
88,-0.9500000000000028,0.75,0.29999999999999716,7.0,1.0,-2.0
89,-1.5,-2.700000000000003,-0.9500000000000028,0.0,0.0,0.0
90,0.7000000000000028,-1.1999999999999957,1.8500000000000014,-5.0,-1.0,2.0
91,34.4,-0.20000000000000284,-1.6499999999999986,-5.0,-1.0,-3.0
92,-8.599999999999994,7.350000000000001,-3.049999999999997,3.0,-1.0,-2.0
93,-3.700000000000003,-3.6499999999999986,4.449999999999996,2.0,0.0,0.0
94,28.450000000000003,-2.25,-2.6999999999999957,-1.0,2.0,-1.0
95,-55.150000000000006,3.4499999999999957,0.5499999999999972,-6.0,-4.0,0.0
96,0.0,-7.699999999999996,1.0,5.0,0.0,0.0
97,0.0,3.5,-2.5,1.0,0.0,1.0
98,0.0,1.8999999999999986,3.6499999999999986,-4.0,4.0,5.0
99,0.0,2.1499999999999986,-0.6000000000000014,3.0,-4.0,-4.0
100,0.0,1.3000000000000043,-0.6499999999999986,2.0,0.0,0.0
101,0.0,-0.20000000000000284,-0.5,-3.0,1.0,4.0
102,0.0,-1.3500000000000014,0.14999999999999858,3.0,0.0,-2.0
103,0.0,-2.8999999999999986,-0.25,-1.0,-1.0,-3.0
104,0.0,4.100000000000001,-0.7999999999999972,-3.0,2.0,-1.0
105,0.0,-2.8500000000000014,0.45000000000000284,-1.0,-2.0,0.0
106,0.0,0.25,-0.45000000000000284,-2.0,0.0,0.0
107,0.0,4.0,1.7999999999999972,0.0,0.0,0.0
108,0.0,-7.100000000000001,-0.8999999999999986,0.0,0.0,0.0
109,0.0,1.1000000000000014,1.0500000000000043,1.0,1.0,0.0
110,0.0,5.75,-1.1000000000000014,4.0,0.0,0.0
111,0.0,1.8999999999999986,0.3999999999999986,-1.0,0.0,2.0
112,0.0,-1.6499999999999986,-0.5,2.0,-1.0,-1.0
113,0.0,0.6000000000000014,0.04999999999999716,0.0,3.0,0.0
114,0.0,-1.3500000000000014,-0.29999999999999716,-4.0,-3.0,-1.0
115,0.0,0.7999999999999972,0.8999999999999986,-1.0,1.0,2.0
116,0.0,-5.149999999999999,-1.0,0.0,0.0,-2.0
117,0.0,-0.6999999999999957,1.1499999999999986,-1.0,-1.0,0.0
118,0.0,1.8999999999999986,-4.349999999999994,0.0,0.0,0.0
119,0.0,-3.8999999999999986,3.1999999999999957,0.0,0.0,0.0
120,0.0,4.149999999999999,1.0,0.0,0.0,0.0
121,0.0,-0.3500000000000014,-0.6499999999999986,0.0,0.0,0.0
122,0.0,-1.8500000000000014,-0.3500000000000014,0.0,0.0,0.0
123,0.0,4.5,-3.3999999999999986,0.0,0.0,0.0
124,0.0,-0.8500000000000014,4.200000000000003,0.0,0.0,0.0
125,0.0,-1.6499999999999986,-1.1500000000000057,0.0,0.0,0.0
126,0.0,5.450000000000003,0.25,0.0,0.0,0.0
127,0.0,-5.800000000000004,0.45000000000000284,0.0,0.0,0.0
128,0.0,-0.14999999999999858,0.29999999999999716,0.0,0.0,0.0
129,0.0,-0.5499999999999972,0.0,0.0,0.0,0.0
130,0.0,-2.8500000000000014,-0.44999999999999574,0.0,0.0,0.0
131,0.0,-2.549999999999997,1.1999999999999957,0.0,0.0,0.0
132,1.7999999999999972,4.949999999999996,0.8000000000000043,5.0,0.0,0.0
133,26.150000000000006,1.0,-3.700000000000003,2.0,3.0,2.0
134,17.14999999999999,2.8500000000000014,1.3999999999999986,-7.0,0.0,-1.0
135,-45.099999999999994,-2.049999999999997,-1.0,8.0,-2.0,-1.0
136,44.599999999999994,3.0999999999999943,1.3500000000000014,0.0,1.0,6.0
137,-2.3999999999999915,-3.049999999999997,-0.8999999999999986,0.0,0.0,-5.0
138,-42.2,2.6499999999999986,-0.10000000000000142,0.0,-2.0,-1.0
139,55.3,0.7000000000000028,-1.5,0.0,3.0,1.0
140,-55.3,-1.8500000000000014,0.75,-4.0,-3.0,1.0
141,44.2,1.6499999999999986,-0.6499999999999986,-2.0,0.0,-2.0
142,-41.400000000000006,0.45000000000000284,1.0,5.0,0.0,0.0
143,47.0,-7.100000000000001,2.25,-7.0,0.0,0.0
144,-4.599999999999994,2.8500000000000014,0.04999999999999716,5.0,1.0,0.0
145,-41.1,2.3500000000000014,1.0,-1.0,2.0,0.0
146,-0.30000000000000426,1.0499999999999972,0.6000000000000014,2.0,-1.0,3.0
147,-0.25,-0.6000000000000014,-4.649999999999999,-3.0,5.0,3.0
148,1.6500000000000057,-1.3999999999999986,1.3999999999999986,3.0,-3.0,1.0
149,24.200000000000003,5.049999999999997,-3.549999999999997,1.0,1.0,-7.0
150,-24.60000000000001,-1.3999999999999986,3.75,3.0,3.0,5.0
151,-1.5,1.0,-1.4500000000000028,-6.0,-6.0,2.0
152,22.299999999999997,-2.299999999999997,0.5,2.0,-1.0,-3.0
153,-0.8999999999999915,-2.1000000000000014,-0.14999999999999858,0.0,0.0,-4.0
154,20.5,2.6499999999999986,-0.5,-3.0,1.0,0.0
155,-0.6000000000000085,-3.8500000000000014,2.8999999999999986,-3.0,-2.0,0.0
156,2.4000000000000057,-0.6499999999999986,-0.14999999999999858,2.0,3.0,1.0
157,-47.0,3.0500000000000043,0.6000000000000014,4.0,2.0,4.0
158,0.0,0.44999999999999574,-1.1499999999999986,1.0,1.0,-4.0
159,0.0,0.20000000000000284,1.7999999999999972,-1.0,3.0,-1.0
160,0.0,-0.8500000000000014,-1.8500000000000014,2.0,0.0,5.0
161,0.0,0.3999999999999986,0.75,2.0,-6.0,0.0
162,0.0,3.700000000000003,-0.8500000000000014,0.0,-1.0,-4.0
163,0.0,-3.8500000000000014,-1.3499999999999943,-7.0,1.0,0.0
164,0.0,-0.25,1.1999999999999957,4.0,0.0,1.0
165,0.0,1.25,2.1000000000000014,-6.0,-1.0,-2.0
166,0.0,-0.8500000000000014,-1.6000000000000014,0.0,-1.0,1.0
167,0.0,-3.6000000000000014,-0.8999999999999986,-1.0,-1.0,-1.0
168,0.0,0.7000000000000028,0.45000000000000284,3.0,1.0,0.0
169,0.0,2.25,1.6499999999999986,6.0,0.0,1.0
170,0.0,-0.8999999999999986,-2.200000000000003,-3.0,1.0,-1.0
171,0.0,-2.0,0.10000000000000142,-2.0,0.0,0.0
172,0.0,2.1000000000000014,-1.1499999999999986,4.0,1.0,2.0
173,0.0,0.04999999999999716,0.3999999999999986,1.0,-3.0,-1.0
174,0.0,-3.5,1.1000000000000014,-5.0,2.0,1.0
175,44.8,3.5,-4.050000000000004,-1.0,0.0,0.0
176,-0.3999999999999915,-0.7000000000000028,2.3500000000000014,5.0,-1.0,-2.0
177,-44.400000000000006,-0.44999999999999574,0.9500000000000028,-5.0,2.0,0.0
178,0.0,1.3999999999999986,1.3500000000000014,2.0,-2.0,1.0
179,0.0,1.75,-0.9500000000000028,-5.0,-1.0,-1.0
180,0.0,-15.0,1.6000000000000014,1.0,2.0,0.0
181,0.0,11.600000000000001,-0.3999999999999986,6.0,1.0,2.0
182,0.0,3.8999999999999986,-0.9500000000000028,-4.0,-2.0,2.0
183,0.0,-9.25,0.75,2.0,2.0,0.0
184,0.0,-6.399999999999999,-0.7000000000000028,2.0,4.0,-3.0
185,1.7999999999999972,2.3999999999999986,-0.19999999999999574,-4.0,-6.0,2.0
186,17.950000000000003,-0.5,-2.450000000000003,4.0,3.0,-1.0
187,-15.350000000000001,4.049999999999997,0.75,-1.0,-4.0,-1.0
188,-1.3999999999999986,-2.3499999999999943,1.6000000000000014,-3.0,4.0,1.0
189,-0.7000000000000028,-1.8000000000000043,-0.75,-1.0,-2.0,-1.0
190,0.9000000000000057,-0.19999999999999574,0.3999999999999986,-1.0,0.0,-1.0
191,34.099999999999994,-2.1500000000000057,1.1499999999999986,-1.0,-2.0,0.0
192,-37.3,1.7000000000000028,-0.3499999999999943,0.0,0.0,0.0
193,0.0,0.8500000000000014,0.3999999999999986,2.0,1.0,0.0
194,0.0,-1.3500000000000014,0.8500000000000014,2.0,1.0,0.0
195,0.0,0.75,-1.1000000000000014,1.0,4.0,3.0
196,39.5,0.6000000000000014,-0.3999999999999986,-1.0,0.0,-2.0
197,-39.5,-2.0500000000000043,-0.45000000000000284,2.0,-4.0,1.0
198,29.900000000000006,2.1000000000000014,-0.75,-1.0,-1.0,-2.0
199,-29.900000000000006,-0.7999999999999972,1.1000000000000014,-2.0,-1.0,0.0
200,0.0,1.1000000000000014,0.3999999999999986,-1.0,1.0,0.0
201,0.0,-0.7000000000000028,-3.3500000000000014,-2.0,-1.0,0.0
202,0.0,-1.2999999999999972,1.8999999999999986,0.0,0.0,0.0
203,0.0,0.5,0.9500000000000028,0.0,0.0,0.0
