time,eui-e8e1e1000104c51b
2023-06-14 09:30:00,86.0
2023-06-14 11:00:00,39.0
2023-06-15 11:30:00,39.0
2023-06-15 12:30:00,39.0
2023-06-15 15:30:00,39.0
2023-06-15 16:30:00,83.8
2023-06-15 17:30:00,83.4
2023-06-16 09:00:00,39.0
2023-06-16 10:00:00,39.0
2023-06-16 12:30:00,39.0
2023-06-16 14:30:00,40.8
2023-06-16 15:00:00,76.2
2023-06-16 15:30:00,41.3
2023-06-16 16:00:00,41.0
2023-06-16 16:30:00,45.8
2023-06-16 17:00:00,41.3
2023-06-16 17:30:00,42.7
2023-06-16 18:00:00,41.3
2023-06-16 19:00:00,41.2
2023-06-16 19:30:00,43.2
2023-06-16 20:00:00,76.3
2023-06-17 09:00:00,39.0
2023-06-17 09:30:00,39.0
2023-06-17 10:00:00,39.0
2023-06-17 11:00:00,39.0
2023-06-17 12:00:00,39.0
2023-06-17 13:30:00,78.5
2023-06-17 15:00:00,93.8
2023-06-17 15:30:00,44.0
2023-06-18 12:00:00,39.0
2023-06-18 18:00:00,83.4
2023-06-18 19:30:00,39.0
2023-06-19 13:00:00,76.2
2023-06-19 15:00:00,99.6
2023-06-19 17:00:00,41.8
2023-06-19 17:30:00,43.5
2023-06-19 18:00:00,84.6
2023-06-19 18:30:00,42.5
2023-06-20 12:00:00,76.2
2023-06-20 13:00:00,97.3
2023-06-20 14:30:00,39.0
2023-06-20 15:30:00,77.3
2023-06-20 17:00:00,83.4
2023-06-20 18:30:00,76.3
2023-06-21 09:00:00,91.0
2023-06-21 11:30:00,83.2
2023-06-21 12:00:00,94.0
2023-06-21 13:00:00,83.6
2023-06-21 14:30:00,84.0
2023-06-21 16:00:00,39.0
2023-06-21 19:00:00,39.0
2023-06-21 19:30:00,39.0
2023-06-21 20:00:00,84.2
2023-06-22 10:00:00,76.0
2023-06-22 10:30:00,76.5
2023-06-22 11:00:00,89.6
2023-06-22 13:30:00,76.2
2023-06-22 15:00:00,69.5
2023-06-22 15:30:00,41.0
2023-06-22 17:00:00,77.0
2023-06-22 17:30:00,76.5
2023-06-22 18:00:00,79.2
2023-06-22 19:00:00,76.7
2023-06-22 19:30:00,76.0
2023-06-23 11:00:00,76.5
2023-06-23 12:00:00,83.6
2023-06-23 12:30:00,75.8
2023-06-23 14:00:00,40.8
2023-06-23 15:00:00,94.5
2023-06-23 15:30:00,94.3
2023-06-23 16:00:00,76.7
