time,eui-e8e1e1000104c51e
2023-06-09 15:00:00,51.5
2023-06-09 15:30:00,50.6
2023-06-09 16:00:00,51.2
2023-06-09 16:30:00,50.4
2023-06-09 17:00:00,50.0
2023-06-10 09:00:00,50.8
2023-06-10 09:30:00,51.0
2023-06-10 10:00:00,50.7
2023-06-10 10:30:00,53.2
2023-06-10 11:00:00,51.0
2023-06-10 11:30:00,50.7
2023-06-10 12:00:00,52.0
2023-06-10 12:30:00,50.5
2023-06-10 13:00:00,50.8
2023-06-10 13:30:00,50.7
2023-06-10 14:00:00,50.5
2023-06-10 14:30:00,51.1
2023-06-10 15:00:00,51.8
2023-06-10 15:30:00,49.2
2023-06-10 16:00:00,51.0
2023-06-10 16:30:00,51.8
2023-06-10 17:00:00,48.4
2023-06-10 17:30:00,52.4
2023-06-10 18:00:00,51.8
2023-06-10 18:30:00,51.3
2023-06-10 19:00:00,51.5
2023-06-10 19:30:00,42.9
2023-06-10 20:00:00,50.4
2023-06-11 09:00:00,50.2
2023-06-11 09:30:00,52.6
2023-06-11 10:00:00,51.5
2023-06-11 10:30:00,50.0
2023-06-11 11:00:00,51.2
2023-06-11 11:30:00,49.6
2023-06-11 12:00:00,42.7
2023-06-11 12:30:00,51.3
2023-06-11 13:00:00,52.2
2023-06-11 13:30:00,50.2
2023-06-11 14:00:00,49.6
2023-06-11 14:30:00,50.5
2023-06-11 15:00:00,51.0
2023-06-11 15:30:00,49.6
2023-06-11 16:00:00,49.7
2023-06-11 16:30:00,51.8
2023-06-11 17:00:00,52.3
2023-06-11 17:30:00,49.8
2023-06-11 18:00:00,51.8
2023-06-11 18:30:00,50.3
2023-06-11 19:00:00,49.6
2023-06-11 19:30:00,51.6
2023-06-11 20:00:00,51.8
2023-06-12 09:00:00,52.8
2023-06-12 09:30:00,52.4
2023-06-12 10:00:00,49.0
2023-06-12 10:30:00,48.8
2023-06-12 11:00:00,48.2
2023-06-12 11:30:00,52.4
2023-06-12 12:00:00,47.8
2023-06-12 12:30:00,50.8
2023-06-12 13:00:00,51.8
2023-06-12 13:30:00,49.5
2023-06-12 14:00:00,51.7
2023-06-12 14:30:00,47.8
2023-06-12 15:00:00,50.3
2023-06-12 15:30:00,49.0
2023-06-12 16:00:00,49.0
2023-06-12 16:30:00,47.3
2023-06-12 17:00:00,49.5
2023-06-12 17:30:00,48.3
2023-06-12 18:00:00,47.7
2023-06-12 18:30:00,48.8
2023-06-12 19:00:00,49.0
2023-06-12 19:30:00,49.5
2023-06-12 20:00:00,51.5
2023-06-13 09:00:00,50.8
2023-06-13 09:30:00,52.3
2023-06-13 10:00:00,51.5
2023-06-13 10:30:00,53.6
2023-06-13 11:00:00,53.0
2023-06-13 11:30:00,53.3
2023-06-13 12:00:00,49.2
2023-06-13 12:30:00,47.8
2023-06-13 13:00:00,50.8
2023-06-13 13:30:00,49.0
2023-06-13 14:00:00,41.3
2023-06-13 14:30:00,51.4
2023-06-13 15:00:00,49.2
2023-06-13 15:30:00,51.0
2023-06-13 16:00:00,48.0
2023-06-13 16:30:00,49.3
2023-06-13 17:00:00,48.8
2023-06-13 17:30:00,49.5
2023-06-13 18:00:00,48.7
2023-06-13 18:30:00,49.3
2023-06-13 19:00:00,47.8
2023-06-13 19:30:00,49.2
2023-06-13 20:00:00,51.4
2023-06-14 09:00:00,51.3
2023-06-14 09:30:00,51.2
2023-06-14 10:00:00,52.2
2023-06-14 10:30:00,51.5
2023-06-14 11:00:00,50.0
2023-06-14 11:30:00,51.4
2023-06-14 12:00:00,53.0
2023-06-14 12:30:00,52.0
2023-06-14 13:00:00,51.3
2023-06-14 13:30:00,50.0
2023-06-14 14:00:00,50.8
2023-06-14 14:30:00,52.0
2023-06-14 15:00:00,50.8
2023-06-14 15:30:00,50.3
2023-06-14 16:00:00,49.8
2023-06-14 16:30:00,48.6
2023-06-14 17:00:00,50.2
2023-06-14 17:30:00,50.6
2023-06-14 18:00:00,53.8
2023-06-14 18:30:00,51.2
2023-06-14 19:00:00,50.2
2023-06-14 19:30:00,51.6
2023-06-14 20:00:00,50.0
2023-06-15 09:00:00,51.2
2023-06-15 09:30:00,49.7
2023-06-15 10:00:00,51.2
2023-06-15 10:30:00,53.0
2023-06-15 11:00:00,47.5
2023-06-15 11:30:00,52.3
2023-06-15 12:00:00,50.8
2023-06-15 12:30:00,49.2
2023-06-15 13:00:00,49.4
2023-06-15 13:30:00,48.3
2023-06-15 14:00:00,50.3
2023-06-15 14:30:00,48.2
2023-06-15 15:00:00,50.7
2023-06-15 15:30:00,50.0
2023-06-15 16:00:00,43.1
2023-06-15 16:30:00,49.5
2023-06-15 17:00:00,49.0
2023-06-15 17:30:00,48.3
2023-06-15 18:00:00,49.5
2023-06-15 18:30:00,49.7
2023-06-15 19:00:00,51.4
2023-06-15 19:30:00,50.5
2023-06-15 20:00:00,50.0
2023-06-16 09:00:00,51.5
2023-06-16 09:30:00,51.7
2023-06-16 10:00:00,50.2
2023-06-16 10:30:00,52.2
2023-06-16 11:00:00,48.2
2023-06-16 11:30:00,52.3
2023-06-16 12:00:00,51.2
2023-06-16 12:30:00,50.8
2023-06-16 13:00:00,50.6
2023-06-16 13:30:00,50.0
2023-06-16 14:00:00,51.7
2023-06-16 14:30:00,48.5
2023-06-16 15:00:00,47.3
2023-06-16 15:30:00,48.0
2023-06-16 16:00:00,47.8
2023-06-16 16:30:00,49.0
2023-06-16 17:00:00,49.8
2023-06-16 17:30:00,50.2
2023-06-16 18:00:00,48.5
2023-06-16 18:30:00,50.0
2023-06-16 19:00:00,48.5
2023-06-16 19:30:00,50.8
2023-06-16 20:00:00,50.8
2023-06-17 09:00:00,50.7
2023-06-17 09:30:00,50.2
2023-06-17 10:00:00,50.5
2023-06-17 10:30:00,51.2
2023-06-17 11:00:00,52.7
2023-06-17 11:30:00,50.7
2023-06-17 12:00:00,50.5
2023-06-17 12:30:00,50.7
2023-06-17 13:00:00,50.0
2023-06-17 13:30:00,50.4
2023-06-17 14:00:00,50.0
2023-06-17 14:30:00,49.5
2023-06-17 15:00:00,49.8
2023-06-17 15:30:00,48.2
2023-06-17 16:00:00,50.0
2023-06-17 16:30:00,50.2
2023-06-17 17:00:00,50.2
2023-06-17 17:30:00,50.8
2023-06-17 18:00:00,43.1
2023-06-17 18:30:00,51.2
2023-06-17 19:00:00,48.8
2023-06-17 19:30:00,49.3
2023-06-17 20:00:00,50.0
2023-06-18 09:00:00,50.2
2023-06-18 09:30:00,49.3
2023-06-18 10:00:00,49.7
2023-06-18 10:30:00,42.9
2023-06-18 11:00:00,50.8
2023-06-18 11:30:00,50.4
2023-06-18 12:00:00,50.8
2023-06-18 12:30:00,50.3
2023-06-18 13:00:00,49.7
2023-06-18 13:30:00,50.2
2023-06-18 14:00:00,49.6
2023-06-18 14:30:00,49.6
2023-06-18 15:00:00,50.3
2023-06-18 15:30:00,50.3
2023-06-18 16:00:00,48.0
2023-06-18 16:30:00,49.3
2023-06-18 17:00:00,49.8
2023-06-18 17:30:00,49.6
2023-06-18 18:00:00,50.5
2023-06-18 18:30:00,50.2
2023-06-18 19:00:00,50.8
2023-06-18 19:30:00,50.5
2023-06-18 20:00:00,51.5
2023-06-19 09:00:00,52.0
2023-06-19 09:30:00,50.7
2023-06-19 10:00:00,50.7
2023-06-19 10:30:00,50.3
2023-06-19 11:00:00,51.0
2023-06-19 11:30:00,50.3
2023-06-19 12:00:00,50.4
2023-06-19 12:30:00,52.2
2023-06-19 13:00:00,50.8
2023-06-19 13:30:00,49.6
2023-06-19 14:00:00,51.3
2023-06-19 14:30:00,52.4
2023-06-19 15:00:00,53.0
2023-06-19 15:30:00,54.7
2023-06-19 16:00:00,51.0
2023-06-19 16:30:00,49.2
2023-06-19 17:00:00,49.5
2023-06-19 17:30:00,51.5
2023-06-19 18:00:00,50.2
2023-06-19 18:30:00,52.8
2023-06-19 19:00:00,53.2
2023-06-19 19:30:00,50.5
2023-06-19 20:00:00,42.5
2023-06-20 09:00:00,50.7
2023-06-20 09:30:00,51.3
2023-06-20 10:00:00,50.8
2023-06-20 10:30:00,49.7
2023-06-20 11:00:00,51.2
2023-06-20 11:30:00,51.2
2023-06-20 12:00:00,50.7
2023-06-20 12:30:00,50.2
2023-06-20 13:00:00,43.4
2023-06-20 13:30:00,51.7
2023-06-20 14:00:00,48.5
2023-06-20 14:30:00,50.8
2023-06-20 15:00:00,51.0
2023-06-20 15:30:00,51.0
2023-06-20 16:00:00,51.2
2023-06-20 16:30:00,50.2
2023-06-20 17:00:00,50.5
2023-06-20 17:30:00,49.8
2023-06-20 18:00:00,50.8
2023-06-20 18:30:00,51.3
2023-06-20 19:00:00,50.5
2023-06-20 19:30:00,50.0
2023-06-20 20:00:00,49.5
2023-06-21 09:00:00,50.2
2023-06-21 09:30:00,50.7
2023-06-21 10:00:00,51.2
2023-06-21 10:30:00,51.6
2023-06-21 11:00:00,51.7
2023-06-21 11:30:00,51.0
2023-06-21 12:00:00,50.3
2023-06-21 12:30:00,51.5
2023-06-21 13:00:00,48.0
2023-06-21 13:30:00,51.0
2023-06-21 14:00:00,51.2
2023-06-21 14:30:00,50.2
2023-06-21 15:00:00,51.6
2023-06-21 15:30:00,53.2
2023-06-21 16:00:00,51.7
2023-06-21 16:30:00,49.2
2023-06-21 17:00:00,51.4
2023-06-21 17:30:00,50.8
2023-06-21 18:00:00,48.8
2023-06-21 18:30:00,51.3
2023-06-21 19:00:00,50.3
2023-06-21 19:30:00,49.8
2023-06-21 20:00:00,50.6
2023-06-22 09:00:00,51.4
2023-06-22 09:30:00,51.2
2023-06-22 10:00:00,51.0
2023-06-22 10:30:00,50.5
2023-06-22 11:00:00,50.7
2023-06-22 11:30:00,51.8
2023-06-22 12:00:00,52.0
2023-06-22 12:30:00,50.8
2023-06-22 13:00:00,50.2
2023-06-22 13:30:00,52.4
2023-06-22 14:00:00,51.2
2023-06-22 14:30:00,50.5
2023-06-22 15:00:00,42.3
2023-06-22 15:30:00,50.6
2023-06-22 16:00:00,49.7
2023-06-22 16:30:00,50.3
2023-06-22 17:00:00,51.8
2023-06-22 17:30:00,49.3
2023-06-22 18:00:00,50.3
2023-06-22 18:30:00,50.0
2023-06-22 19:00:00,49.3
2023-06-22 19:30:00,50.5
2023-06-22 20:00:00,50.0
2023-06-23 09:00:00,51.7
2023-06-23 09:30:00,50.0
2023-06-23 10:00:00,52.6
2023-06-23 10:30:00,50.5
2023-06-23 11:00:00,52.0
2023-06-23 11:30:00,51.7
2023-06-23 12:00:00,51.3
2023-06-23 12:30:00,51.5
2023-06-23 13:00:00,50.7
2023-06-23 13:30:00,49.0
2023-06-23 14:00:00,50.7
2023-06-23 14:30:00,49.8
2023-06-23 15:00:00,52.0
2023-06-23 15:30:00,50.2
2023-06-23 16:00:00,50.3
2023-06-23 16:30:00,49.7
2023-06-23 17:00:00,50.3
2023-06-23 17:30:00,50.5
2023-06-23 18:00:00,49.0
2023-06-23 18:30:00,48.7
2023-06-23 19:00:00,51.8
2023-06-23 19:30:00,51.8
2023-06-23 20:00:00,50.2
2023-06-24 09:00:00,51.3
2023-06-24 09:30:00,50.2
2023-06-24 10:00:00,51.6
2023-06-24 10:30:00,51.5
2023-06-24 11:00:00,51.4
2023-06-24 11:30:00,50.8
2023-06-24 12:00:00,49.2
2023-06-24 12:30:00,49.8
2023-06-24 13:00:00,48.2
2023-06-24 13:30:00,51.0
2023-06-24 14:00:00,50.0
2023-06-24 14:30:00,50.2
2023-06-24 15:00:00,49.0
2023-06-24 15:30:00,51.2
2023-06-24 16:00:00,50.0
2023-06-24 16:30:00,50.2
2023-06-24 17:00:00,42.3
2023-06-24 17:30:00,50.5
2023-06-24 18:00:00,48.8
2023-06-24 18:30:00,45.7
2023-06-24 19:00:00,50.8
2023-06-24 19:30:00,46.5
2023-06-24 20:00:00,47.8
2023-06-25 09:00:00,48.8
2023-06-25 09:30:00,43.0
2023-06-25 10:00:00,50.7
2023-06-25 10:30:00,49.4
2023-06-25 11:00:00,48.5
2023-06-25 11:30:00,49.0
2023-06-25 12:00:00,49.6
2023-06-25 12:30:00,47.4
2023-06-25 13:00:00,49.5
2023-06-25 13:30:00,48.0
2023-06-25 14:00:00,50.0
2023-06-25 14:30:00,48.8
2023-06-25 15:00:00,49.4
2023-06-25 15:30:00,46.8
2023-06-25 16:00:00,48.7
2023-06-25 16:30:00,46.7
2023-06-25 17:00:00,48.8
2023-06-25 17:30:00,48.3
2023-06-25 18:00:00,48.0
