time,eui-e8e1e1000104c51e
09/06/2023 10:00,43.7
09/06/2023 10:30,54.3
09/06/2023 11:00,51.5
09/06/2023 11:30,53.8
09/06/2023 12:00,52.3
09/06/2023 12:30,51.8
09/06/2023 13:00,50.8
09/06/2023 13:30,52.0
09/06/2023 14:00,50.6
09/06/2023 14:30,51.2
09/06/2023 15:00,51.5
09/06/2023 15:30,50.6
09/06/2023 16:00,51.2
09/06/2023 16:30,50.4
09/06/2023 17:00,50.0
10/06/2023 09:00,50.8
10/06/2023 09:30,51.0
10/06/2023 10:00,50.7
10/06/2023 10:30,53.2
10/06/2023 11:00,51.0
10/06/2023 11:30,50.7
10/06/2023 12:00,52.0
10/06/2023 12:30,50.5
10/06/2023 13:00,50.8
10/06/2023 13:30,50.7
10/06/2023 14:00,50.5
10/06/2023 14:30,51.1
10/06/2023 15:00,51.8
10/06/2023 15:30,49.2
10/06/2023 16:00,51.0
10/06/2023 16:30,51.8
10/06/2023 17:00,48.4
10/06/2023 17:30,52.4
10/06/2023 18:00,51.8
10/06/2023 18:30,51.3
10/06/2023 19:00,51.5
10/06/2023 19:30,42.9
10/06/2023 20:00,50.4
11/06/2023 09:00,50.2
11/06/2023 09:30,52.6
11/06/2023 10:00,51.5
11/06/2023 10:30,50.0
11/06/2023 11:00,51.2
11/06/2023 11:30,49.6
11/06/2023 12:00,42.7
11/06/2023 12:30,51.3
11/06/2023 13:00,52.2
11/06/2023 13:30,50.2
11/06/2023 14:00,49.6
11/06/2023 14:30,50.5
11/06/2023 15:00,51.0
11/06/2023 15:30,49.6
11/06/2023 16:00,49.7
11/06/2023 16:30,51.8
11/06/2023 17:00,52.3
11/06/2023 17:30,49.8
11/06/2023 18:00,51.8
11/06/2023 18:30,50.3
11/06/2023 19:00,49.6
11/06/2023 19:30,51.6
11/06/2023 20:00,51.8
12/06/2023 09:00,52.8
12/06/2023 09:30,52.4
12/06/2023 10:00,49.0
12/06/2023 10:30,48.8
12/06/2023 11:00,48.2
12/06/2023 11:30,52.4
12/06/2023 12:00,47.8
12/06/2023 12:30,50.8
12/06/2023 13:00,51.8
12/06/2023 13:30,49.5
12/06/2023 14:00,51.7
12/06/2023 14:30,47.8
12/06/2023 15:00,50.3
12/06/2023 15:30,49.0
12/06/2023 16:00,49.0
12/06/2023 16:30,47.3
12/06/2023 17:00,49.5
12/06/2023 17:30,48.3
12/06/2023 18:00,47.7
12/06/2023 18:30,48.8
12/06/2023 19:00,49.0
12/06/2023 19:30,49.5
12/06/2023 20:00,51.5
13/06/2023 09:00,50.8
13/06/2023 09:30,52.3
13/06/2023 10:00,51.5
13/06/2023 10:30,53.6
13/06/2023 11:00,53.0
13/06/2023 11:30,53.3
13/06/2023 12:00,49.2
13/06/2023 12:30,47.8
13/06/2023 13:00,50.8
13/06/2023 13:30,49.0
13/06/2023 14:00,41.3
13/06/2023 14:30,51.4
13/06/2023 15:00,49.2
13/06/2023 15:30,51.0
13/06/2023 16:00,48.0
13/06/2023 16:30,49.3
